store_address,city,state,latitude,longitude
"808 Massachusetts Ave, Arlington, MA 02476, USA",Arlington,Massachusetts,42.416312,-71.159469
"1160 Town and Country Crossing Dr, Town and Country, MO 63017, USA",Town and Country,Missouri,38.622174,-90.515479
"3495 Us Route 1 S, Princeton, NJ 08540, United States",Princeton,New Jersey,40.307916,-74.667855
"1095 Avenue of the Americas, New York, NY 10036, USA",New York,New York,40.754677,-73.984931
"3535 NE 15th Ave, Portland, OR 97212, USA",Portland,Oregon,45.548821,-122.651161
"100 Pitt St, El Paso, TX 79912, USA",El Paso,Texas,31.83408,-106.548005
"151 Sockanosset Cross Rd, Cranston, RI 02920, USA",Cranston,Rhode Island,41.755914,-71.45605
"9607 Research Blvd, Austin, TX 78759, USA",Austin,Texas,30.389992,-97.739952
"815 SE 160th Ave, Vancouver, WA 98683, USA",Vancouver,Washington,45.614694,-122.505816
"5120 S Rural Rd, Tempe, AZ 85282, USA",Tempe,Arizona,33.379584,-111.929789
"3950 24th St, San Francisco, CA 94114, USA",San Francisco,California,37.751958,-122.430885
"740 N Moorpark Rd, Thousand Oaks, CA 91360, USA",Thousand Oaks,California,34.187803,-118.87335
"225 Lincoln Blvd, Venice, CA 90291, USA",,California,34.00109,-118.469837
"465 S Arroyo Pkwy, Pasadena, CA 91105, USA",Pasadena,California,34.137826,-118.14782
"7635 Academy Blvd N, Colorado Springs, CO 80920, USA",Colorado Springs,Colorado,38.942129,-104.797401
"600 H St NE, Washington, DC 20002, USA",Washington,District of Columbia,38.900511,-76.99753
"5298 University Pkwy, at Whole Foods, Sarasota, FL 34243, United States",Sarasota,Florida,27.389291,-82.463733
"401 S Broadway Ave, Boise, ID 83702, USA",Boise,Idaho,43.607863,-116.194638
"1 N Halsted St, Chicago, IL 60661, USA",Chicago,Illinois,41.882382,-87.646886
"327 Russell St, Hadley, MA 01035, USA",Hadley,Massachusetts,42.353146,-72.55462
"7529 Corporate Blvd, Baton Rouge, LA 70809, USA",Baton Rouge,Louisiana,30.432353,-91.111206
"3202 W Friendly Ave, Greensboro, NC 27408, USA",Greensboro,North Carolina,36.085865,-79.834254
"100 Market St, Lynnfield, MA 01940, USA",Lynnfield,Massachusetts,42.51512,-71.029763
"1601 S Brentwood Blvd, Brentwood, MO 63144, USA",Brentwood,Missouri,38.627683,-90.347602
"1255 Raritan Rd #150, Clark, NJ 07066, USA",Clark,New Jersey,40.631768,-74.305086
"95 E Houston St, New York, NY 10002, USA",New York,New York,40.723767,-73.992203
"1210 NW Couch St, Portland, OR 97209, USA",Portland,Oregon,45.52331,-122.683653
"1700 Post Oak Blvd, Houston, TX 77056, USA",Houston,Texas,29.749304,-95.462209
"50 Shelter Cove Ln, Hilton Head Island, SC 29928, USA",Hilton Head Island,South Carolina,32.186446,-80.717952
"15900 Southwest Fwy, Sugar Land, TX 77478, USA",Sugar Land,Texas,29.600187,-95.623404
"888 116th Ave NE, Bellevue, WA 98004, USA",Bellevue,Washington,47.618221,-122.184533
"7111 E Mayo Blvd, Phoenix, AZ 85054, USA",Phoenix,Arizona,33.65373,-111.927917
"201 W Napa St, Sonoma, CA 95476, USA",Sonoma,California,38.291249,-122.462618
"21347 Ventura Blvd, Woodland Hills, CA 91364, USA",Los Angeles,California,34.168094,-118.596867
"15980 Los Gatos Blvd, Los Gatos, CA 95032, USA",Los Gatos,California,37.236096,-121.961498
"6350 W 3rd St, Los Angeles, CA 90036, USA",Los Angeles,California,34.070195,-118.36077
"4530 40th St NW, Washington, DC 20016, USA",Washington,District of Columbia,38.948521,-77.079181
"1030 N Orlando Ave, Winter Park, FL 32789, USA",Winter Park,Florida,28.606472,-81.364604
"6020 N Cicero Ave, Chicago, IL 60646, USA",Chicago,Illinois,41.990353,-87.748951
"3201 N Ashland Ave, Chicago, IL 60657, USA",Chicago,Illinois,41.94009,-87.668253
"181 Cambridge St, Boston, MA 02114, USA",Boston,Massachusetts,42.36205,-71.065359
"3420 Veterans Memorial Blvd, Metairie, LA 70002, USA",Metairie,Louisiana,30.001869,-90.158923
"5055 Arco Street, Cary, NC 27519, USA",Cary,North Carolina,35.833198,-78.882037
"181 Cambridge St, Boston, MA 02114, USA",Boston,Massachusetts,42.36205,-71.065359
"6055 O St, Lincoln, NE 68510, USA",Lincoln,Nebraska,40.812997,-96.639076
"645 Middlesex Ave, Metuchen, NJ 08840, USA",Metuchen,New Jersey,40.540292,-74.366382
"214 3rd St, Brooklyn, NY 11215, USA",,New York,40.674915,-73.988819
"19440 NW Cornell Rd, Hillsboro, OR 97124, USA",Hillsboro,Oregon,45.53374,-122.876973
"6598 N Landmark Dr, Park City, UT 84098, USA",Park City,Utah,40.727744,-111.548128
"923 Houston Northcutt Blvd, Mt Pleasant, SC 29464, USA",Mount Pleasant,South Carolina,32.802349,-79.888996
"18403 Blanco Rd, San Antonio, TX 78258, USA",San Antonio,Texas,29.613701,-98.511219
